"id","url","title","rating","user_rated","chapters","views","bookmarked","last_update"
912,https://www.mgeko.cc/manga/in-this-life-the-greatest-star-in-the-universe/,"In This Life, the Greatest Star in the Universe","2.0","4","60-eng-li","436 K","822","2 weeks, 3 days"
913,https://www.mgeko.cc/manga/reincarnation-path-of-the-underworld-king/,Reincarnation Path of The Underworld King,"3.5","10","41-eng-li","812 K","2.5 K","2 days, 13 hours"
914,https://www.mgeko.cc/manga/the-max-level-players-100th-regression/,The Max-Level Player’s 100th Regression,"4.8","17","41-5-eng-li","3.1 M","8.0 K","9 months, 1 week"
915,https://www.mgeko.cc/manga/demonsealing-barrier/,DEMON-SEALING BARRIER,"0.0","0","1-eng-li","48 K","403","1 year"
916,https://www.mgeko.cc/manga/aiming-to-be-the-strongest-while-remaining/,Aiming to Be the Strongest While Remaining at the Absolute Lowest Level With My Worthless Run Away Skill,"2.7","7","12-2-eng-li","258 K","1.0 K","3 months"
917,https://www.mgeko.cc/manga/what-do-you-do-if-the-heroine-escapes-from-your-novel/,What Do You Do If the Heroine Escapes From Your Novel,"5.0","1","141-eng-li","872 K","968","5 months, 3 weeks"
918,https://www.mgeko.cc/manga/koun-ka-999-no-watashi-sokushi-mahou-ga-zettai-ni-seikou-suru-no-de-sekai-saikyou-desu-mahou-ka-1-de-tsuihousaremashita-ga-kakuritsu-cheat-de-moriagaru/,"Koun-chi 999 no Watashi, Sokushi Mahou ga Zettai ni Seikou suru no de Sekai Saikyou desu ~ Mahou-chi 1 de Tsuihousaremashita ga, Kakuritsu Cheat de Moriagaru ~","0.0","0","9-eng-li","67 K","454","7 months, 1 week"
919,https://www.mgeko.cc/manga/unemployed-monster-player/,Unemployed Monster Player,"5.0","1","54-eng-li","786 K","1.8 K","6 months, 4 weeks"
920,https://www.mgeko.cc/manga/please-slay-the-demon-young-master/,Please Slay The Demon! Young Master!,"4.4","13","126-eng-li","1.2 M","1.1 K","1 day, 11 hours"
921,https://www.mgeko.cc/manga/the-wailing-perversion/,The Wailing Perversion,"3.5","8","51-eng-li","1.0 M","2.2 K","1 month, 1 week"
922,https://www.mgeko.cc/manga/can-t-i-just-be-a-student/,Can't I Just Be a Student?,"0.0","0","24-eng-li","506 K","1.3 K","9 months, 1 week"
923,https://www.mgeko.cc/manga/cool-wife-saa-chan/,Cool Wife Saa-chan,"0.0","0","45-eng-li","133 K","368","5 months, 1 week"
924,https://www.mgeko.cc/manga/sokushi-to-hametsu-no-saijaku-majutsushi/,Instant Death and Destruction of the Weakest Magician,"0.0","0","5-eng-li","193 K","1.3 K","1 year"
925,https://www.mgeko.cc/manga/hero-kun-won-t-set-out/,Hero-kun Won't Set Out!,"0.0","0","8-eng-li","140 K","630","1 year, 1 month"
926,https://www.mgeko.cc/manga/leveling-up-my-isekai-d-abs/,Leveling Up My Isekai'd Abs,"0.0","0","26-eng-li","250 K","919","4 months, 2 weeks"
927,https://www.mgeko.cc/manga/ore-no-buki-wa-saijaku-dakedo-level-up-suru-rashii/,Ore no Buki wa Saijaku Dakedo Level Up suru Rashii,"1.0","1","18-eng-li","239 K","831","4 months"
928,https://www.mgeko.cc/manga/ari-no-su-dungeon-e-youkoso/,Ari no Su Dungeon e Youkoso!,"0.0","0","3-2-eng-li","113 K","931","11 months, 4 weeks"
929,https://www.mgeko.cc/manga/gods-gambit/,Gods’ Gambit,"2.8","19","55-eng-li","1.0 M","2.5 K","2 days, 9 hours"
930,https://www.mgeko.cc/manga/fukushuu-no-taishi-level-9999-no-bakumatsu-isekai-tensei/,Fukushuu no Taishi - Level 9999 no Bakumatsu Isekai Tensei,"5.0","1","15-eng-li","278 K","1.2 K","6 months, 2 weeks"
931,https://www.mgeko.cc/manga/at-the-beginning-the-ancient-demon-saint-used-me-as-a-cauldror/,"In the Beginning, the Ancient Demon Saint Used Me as a Cauldron","0.0","0","13-eng-li","271 K","1.0 K","1 year"
932,https://www.mgeko.cc/manga/magician-of-the-abyss-i-was-imprisoned-as-a-traitor-but-i-obtained-an-immortal-body-and-the-strongest-power-to-rise-as-an-adventurer/,"Magician of the Abyss – I was imprisoned as a traitor, but I obtained an immortal body and the strongest power to rise as an adventurer","0.0","0","8-2-eng-li","297 K","1.2 K","9 months"
933,https://www.mgeko.cc/manga/saigo-no-ryuukishi-no-eiyuutan-panzer-ryouheidan-senki/,Saigo no Ryuukishi no Eiyuutan - Panzer Ryouheidan Senki,"0.0","0","4-eng-li","87 K","584","1 year, 1 month"
934,https://www.mgeko.cc/manga/kalli-the-champion/,Kalli The Champion,"3.4","19","85-eng-li","2.0 M","2.8 K","1 day, 12 hours"
935,https://www.mgeko.cc/manga/plunder-countless-talents-i-became-a-god/,"Plunder Countless Talents, I Became a God","3.7","3","100-eng-li","1.5 M","2.2 K","8 months"
936,https://www.mgeko.cc/manga/holy-emperors-grandson-is-a-necromancer/,HOLY EMPEROR’S GRANDSON IS A NECROMANCER,"4.1","38","64-eng-li","2.6 M","4.4 K","2 days, 8 hours"
937,https://www.mgeko.cc/manga/life-in-a-single-room-with-saintess/,Living in a single room with a Saintess,"5.0","1","6-eng-li","162 K","1.0 K","1 year"
938,https://www.mgeko.cc/manga/conqueror-of-modern-martial-arts-kang-haejin/,Conqueror of modern martial arts Kang Haejin,"3.7","3","40-eng-li","1.0 M","2.3 K","1 month"
939,https://www.mgeko.cc/manga/the-strongest-assassin-gets-transferred/,The strongest assassin gets transferred to another world with his whole class,"4.1","18","61-eng-li","2.0 M","4.3 K","1 week, 1 day"
940,https://www.mgeko.cc/manga/hero-s-party-want-to-experience-love/,Hero's Party Want to Experience LOVE,"3.1","7","24-eng-li","409 K","1.3 K","3 weeks, 4 days"
941,https://www.mgeko.cc/manga/the-return-of-apocalypses-tyrant/,The Return Of Apocalypses Tyrant,"4.0","2","34-eng-li","1.2 M","3.4 K","4 months, 2 weeks"
942,https://www.mgeko.cc/manga/the-heavenly-demons-descendant/,The Heavenly Demon’s Descendant,"3.0","1","39-eng-li","855 K","2.5 K","3 months, 3 weeks"
943,https://www.mgeko.cc/manga/reborn-as-a-monster-2-rise-of-the-beast-god/,Reborn as a Monster 2: Rise of the Beast God,"3.9","18","70-eng-li","982 K","1.6 K","2 months"
944,https://www.mgeko.cc/manga/abandoned-in-a-labyrinth-as-a-directionally-challenged-s-rank-swordsman/,My Blade Will Lead the Way! Abandoned in a Labyrinth as a Directionally Challenged S-Rank Swordsman,"5.0","6","30-eng-li","787 K","1.8 K","2 weeks, 4 days"
945,https://www.mgeko.cc/manga/the-crow/,The Crow,"5.0","4","25-eng-li","126 K","425","2 weeks, 4 days"
946,https://www.mgeko.cc/manga/rules-and-tales-starting-as-a-forced-god-of-war/,Rules and Tales: Starting as a Forced God of War,"4.2","13","25-eng-li","366 K","1.2 K","2 months, 3 weeks"
947,https://www.mgeko.cc/manga/necromancer-academy-and-the-genius-summoner/,Necromancer Academy and the Genius Summoner,"3.7","30","144-eng-li","5.1 M","4.7 K","3 days, 6 hours"
948,https://www.mgeko.cc/manga/prison-demon/,Demon's Cage,"0.0","0","45-eng-li","459 K","846","5 months, 3 weeks"
949,https://www.mgeko.cc/manga/the-protagonist-s-hidden-strength/,The Protagonist's Hidden Strength,"4.1","27","47-eng-li","1.2 M","3.4 K","4 days, 21 hours"
950,https://www.mgeko.cc/manga/terror-hunter/,Terror Hunter,"4.0","2","27-eng-li","334 K","1.0 K","8 months, 2 weeks"
951,https://www.mgeko.cc/manga/invincible-to-100-hits/,Invincible to 100 Hits,"3.0","2","49-eng-li","644 K","1.0 K","7 months, 1 week"
952,https://www.mgeko.cc/manga/the-savior-is-ruined/,The Savior is Ruined,"0.0","0","2-eng-li","259 K","1.5 K","1 year, 1 month"
953,https://www.mgeko.cc/manga/shin-no-yuusha-de-aru-kare-wo-party-kara-tsuihou-shita/,"Kono Hi, ""Itsuwari no Yuusha"" de Aru Ore wa ""Shin no Yuusha"" de Aru Kare wo Party kara Tsuihou shita","5.0","1","6-eng-li","78 K","581","3 months, 2 weeks"
